x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.896552, 0.172414, 0.000000, -0.000000, 0.007105, -0.000000, 0.007105, 25.079030, 8.359677, 1, 0
0.931034, 0.172414, 0.000000, 0.000000, -0.041634, -0.000000, 0.041634, 21.432014, 7.144005, 1, 0
0.965517, 0.172414, 0.000000, 0.000000, -0.018181, 0.000000, 0.018181, 42.568911, 14.189637, 1, 0
1.000000, 0.172414, 0.000000, -0.000000, 0.000776, -0.000000, 0.000776, 49.105366, 16.368455, 1, 0
0.000000, 0.206897, 0.000000, 0.000000, -0.003926, 0.000000, 0.003926, 5.224678, 1.741559, 1, 0
0.034483, 0.206897, 0.000000, 0.000000, 0.001677, -0.000000, 0.001677, 4.935196, 1.645065, 1, 0
0.068966, 0.206897, 0.000000, 0.000000, -0.031946, 0.000000, 0.031946, 5.901719, 1.967240, 1, 0
0.103448, 0.206897, 0.000000, 0.000000, -0.015045, 0.000000, 0.015045, 8.633429, 2.877810, 1, 0
0.137931, 0.206897, 0.000000, 0.000000, -0.019120, -0.000000, 0.019120, 11.173194, 3.724398, 1, 0
0.172414, 0.206897, 0.000000, 0.000000, -0.022520, -0.000000, 0.022520, 15.048832, 5.016277, 1, 0
0.206897, 0.206897, 0.000000, 0.000000, -0.013289, -0.000000, 0.013289, 19.055467, 6.351822, 1, 0
0.241379, 0.206897, 0.000000, 0.000000, -0.003225, 0.000000, 0.003225, 22.807480, 7.602493, 1, 0
0.275862, 0.206897, 0.000000, 0.000000, 0.000190, -0.000000, 0.000190, 24.908074, 8.302691, 1, 0
0.310345, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.344828, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.379310, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.413793, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
0.448276, 0.206897, 0.000000, 0.000000, 0.001123, -0.000000, 0.001123, 25.447596, 8.482532, 1, 0
