  ID  j  METAF[j]  F[j]
  934  7 0.14949 0.39613
  934  8 0.10281 0.32878
  934  9 0.00000 0.00000
  934 10 0.00000 0.00000
  934 11 0.00000 0.00000
  934 12 0.00000 0.00000
  934 13 0.00000 0.00000
  934 14 0.00000 0.00000
  934 15 0.00000 0.00000
  934 16 0.00000 0.00000
  934 17 0.00000 0.00000
  934 18 0.00000 0.00000
  935  0 1.48865 1.48865
  935  1 0.25173 0.25173
  935  2 0.23749 0.23749
  935  3 0.28876 0.19843
  935  4 0.20965 0.20965
  935  5 0.24811 0.24374
  935  6 0.24811 0.24811
  935  7 0.14949 0.39613
  935  8 0.10281 0.32878
  935  9 0.00000 0.00000
  935 10 0.00000 0.00000
  935 11 0.00000 0.00000
  935 12 0.00000 0.00000
  935 13 0.00000 0.00000
  935 14 0.00000 0.00000
  935 15 0.00000 0.00000
  935 16 0.00000 0.00000
  935 17 0.00000 0.00000
  935 18 0.00000 0.00000
  936  0 1.48865 1.48865
  936  1 0.25173 0.25173
  936  2 0.23749 0.23749
  936  3 0.28876 0.19843
  936  4 0.20965 0.20965
  936  5 0.24811 0.24374
  936  6 0.24811 0.24811
  936  7 0.14949 0.39613
  936  8 0.10281 0.32878
  936  9 0.00000 0.00000
  936 10 0.00000 0.00000
  936 11 0.00000 0.00000
  936 12 0.00000 0.00000
  936 13 0.00000 0.00000
  936 14 0.00000 0.00000
  936 15 0.00000 0.00000
  936 16 0.00000 0.00000
  936 17 0.00000 0.00000
  936 18 0.00000 0.00000
  937  0 1.48865 1.48865
  937  1 0.25173 0.25173
  937  2 0.23749 0.23749
  937  3 0.28876 0.19843
  937  4 0.20965 0.20965
  937  5 0.24811 0.24374
  937  6 0.24811 0.24811
  937  7 0.14949 0.39613
  937  8 0.10281 0.32878
  937  9 0.00000 0.00000
  937 10 0.00000 0.00000
  937 11 0.00000 0.00000
  937 12 0.00000 0.00000
  937 13 0.00000 0.00000
  937 14 0.00000 0.00000
  937 15 0.00000 0.00000
  937 16 0.00000 0.00000
  937 17 0.00000 0.00000
  937 18 0.00000 0.00000
  938  0 1.48865 1.48865
  938  1 0.25173 0.25173
  938  2 0.23749 0.23749
  938  3 0.28876 0.19843
  938  4 0.20965 0.20965
  938  5 0.24811 0.24374
  938  6 0.24811 0.24811
  938  7 0.14949 0.39613
  938  8 0.10281 0.32878
  938  9 0.00000 0.00000
  938 10 0.00000 0.00000
  938 11 0.00000 0.00000
  938 12 0.00000 0.00000
  938 13 0.00000 0.00000
  938 14 0.00000 0.00000
  938 15 0.00000 0.00000
  938 16 0.00000 0.00000
  938 17 0.00000 0.00000
  938 18 0.00000 0.00000
  939  0 1.48865 1.48865
  939  1 0.25173 0.25173
  939  2 0.23749 0.23749
  939  3 0.28876 0.19843
  939  4 0.20965 0.20965
  939  5 0.24811 0.24374
  939  6 0.24811 0.24811
  939  7 0.14949 0.39613
  939  8 0.10281 0.32878
  939  9 0.00000 0.00000
  939 10 0.00000 0.00000
  939 11 0.00000 0.00000
  939 12 0.00000 0.00000
  939 13 0.00000 0.00000
  939 14 0.00000 0.00000
  939 15 0.00000 0.00000
  939 16 0.00000 0.00000
  939 17 0.00000 0.00000
  939 18 0.00000 0.00000
  960  0 1.27329 1.27329
  960  1 0.31038 0.23749
