"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0.46444,0.45654,-0.00093,0.65126,2.0713,3.5934,-0.18777,3.5336,-0.13258,0.46868,0.17921,5.3106,1.8655,5.3106,1.8655,1.8317,0.11883,1.9584,-0.067136,1.4415,0.022668,2.0156,-0.1738,31.026,10.342,1,0,0.86207,0.27586,0.10345
0.56208,0.51363,-0.027835,0.76192,-1.4656,3.3481,-0.70202,3.5815,-0.33912,0.036244,0.11728,4.5708,2.0354,4.5708,2.0354,1.7044,-0.27221,2.0815,-0.32808,1.4117,-0.016846,1.7922,-0.13068,24.031,8.0102,1,0,0.89655,0.31034,0.10345
0.46444,0.45654,-0.00093,0.65126,2.0713,3.5934,-0.18777,3.5336,-0.13258,0.46868,0.17921,5.3106,1.8655,5.3106,1.8655,1.8317,0.11883,1.9584,-0.067136,1.4415,0.022668,2.0156,-0.1738,31.026,10.342,1,0,0.86207,0.31034,0.10345
0.58994,0.55538,-0.041887,0.81131,2.2413,3.826,-0.10173,3.5966,-0.16982,-0.56597,0.40121,5.7908,1.1211,5.7908,1.1211,1.6331,-0.32852,1.8123,-0.21396,1.5163,0.14874,1.6999,-0.070691,29.249,9.7496,1,0,0.86207,0.27586,0.068966
0.56208,0.51363,-0.027835,0.76192,-1.4656,3.3481,-0.70202,3.5815,-0.33912,0.036244,0.11728,4.5708,2.0354,4.5708,2.0354,1.7044,-0.27221,2.0815,-0.32808,1.4117,-0.016846,1.7922,-0.13068,24.031,8.0102,1,0,0.89655,0.34483,0.10345
0.56208,0.51363,-0.027835,0.76192,-1.4656,3.3481,-0.70202,3.5815,-0.33912,0.036244,0.11728,4.5708,2.0354,4.5708,2.0354,1.7044,-0.27221,2.0815,-0.32808,1.4117,-0.016846,1.7922,-0.13068,24.031,8.0102,1,0,0.89655,0.37931,0.10345
0.68412,0.76414,0.004935,1.0256,-0.54894,3.6554,-0.31851,4.816,-0.26066,-0.41595,-0.519,5.8424,0.53028,5.8424,0.53028,1.6964,-0.088292,1.7807,-0.065381,2.245,-0.092709,2.1696,-0.153,26.646,8.882,1,0,0.93103,0.41379,0.10345
0.56208,0.51363,-0.027835,0.76192,-1.4656,3.3481,-0.70202,3.5815,-0.33912,0.036244,0.11728,4.5708,2.0354,4.5708,2.0354,1.7044,-0.27221,2.0815,-0.32808,1.4117,-0.016846,1.7922,-0.13068,24.031,8.0102,1,0,0.89655,0.41379,0.10345
0.4377,0.42074,-0.000242,0.60713,0.78718,3.5585,-0.65551,3.4885,-0.21498,-0.35052,-0.093652,4.6455,2.7571,4.6455,2.7571,1.6272,-0.36729,1.7079,-0.40521,1.9401,0.083044,2.0113,-0.28104,27.641,9.2136,1,0,0.89655,0.37931,0.068966
0.68412,0.76414,0.004935,1.0256,-0.54894,3.6554,-0.31851,4.816,-0.26066,-0.41595,-0.519,5.8424,0.53028,5.8424,0.53028,1.6964,-0.088292,1.7807,-0.065381,2.245,-0.092709,2.1696,-0.153,26.646,8.882,1,0,0.93103,0.48276,0.10345
0.41684,0.50687,-0.007438,0.6563,5.8991,3.7566,1.2197,3.9774,0.14788,0.61578,0.64036,6.142,0.14884,6.142,0.14884,2.1879,0.83771,1.9747,1.346,2.0412,0.17329,2.286,-0.096622,39.589,13.196,1,0,0.96552,0.51724,0.10345
